Representatives,No,Year,Republican,Democratic,Libertarian,No Party Affiliation,Write-in,Total,Turnout_Republican,Turnout_Democratic,Result
12th district,12,2006,"124,452",0,0,"55,612",0,"180,064",0.691154256,0.0,Republican
13th district,13,2022,181487,153876,6163,0,20,341546,0.531369127,0.450527894,Republican
13th district,13,2018,182717,134254,0,0,0,316971,0.576447057,0.423552943,Republican
13th district,13,2014,"168,172",0,"55,318",0,86,"223,576",0.752191648,0.0,Republican
13th district,13,2010,183811,83123,0,0,0,266934,0.688600928,0.311399072,Democratic
13th district,13,2006,"119,309","118,940",0,0,0,"238,249",0.5007744,0.4992256,Republican
13th district,13,2002,139048,114739,0,0,22,253809,0.547845033,0.452068288,Republican
14th district,14,2022,"113,427","149,737",0,0,0,"263,164",0.431012601,0.568987399,Democratic
14th district,14,2010,188341,74525,0,11825,0,274691,0.685646781,0.271304848,Democratic
14th district,14,2006,"151,615","83,920",0,0,4,"235,539",0.643693826,0.356289192,Republican
15th district,15,2022,145219,102835,0,0,0,248054,0.585433011,0.414566989,Republican
15th district,15,2018,134132,151380,0,0,20,285532,0.469761708,0.530168247,Democratic
15th district,15,2014,"128,750","84,832",0,0,0,"213,582",0.602812971,0.397187029,Republican
15th district,15,2010,157079,85595,0,0,0,242674,0.647284011,0.352715989,Democratic
15th district,15,2006,"125,965","97,834",0,0,0,"223,799",0.562848806,0.437151194,Republican
15th district,15,2002,146414,85433,0,0,10,231857,0.631484061,0.368472809,Democratic
16th district,16,2022,189762,115575,0,0,21,305358,0.621441063,0.378490166,Republican
16th district,16,2018,164463,197483,0,0,0,361946,0.454385461,0.545614539,Democratic
16th district,16,2014,"169,126","105,483",0,0,220,"274,829",0.615386295,0.383813207,Republican
16th district,16,2010,162285,80327,0,0,151,242763,0.668491492,0.330886502,Democratic
16th district,16,2006,"111,415","115,832",0,"6,526",0,"233,773",0.476594816,0.495489214,Democratic
16th district,16,2002,176171,0,47169,0,0,223340,0.788801827,0.0,Republican
17th district,17,2022,222483,123798,0,2225,0,348506,0.638390731,0.355224874,Republican
17th district,17,2018,117194,193326,0,0,0,310520,0.377412083,0.622587917,Democratic
17th district,17,2014,"141,493","82,263",0,0,0,"223,756",0.632353993,0.367646007,Republican
17th district,17,2010,0,106361,0,17009,0,123370,0.0,0.862130178,Democratic
17th district,17,2006,0,"90,663",0,0,23,"90,686",0.0,0.999746378,Democratic
17th district,17,2002,0,113749,0,0,73,"113,822",0.0,0.999358648,Democratic
18th district,18,2022,167429,0,0,56647,158,224234,0.746670888,0.0,Republican
18th district,18,2018,156454,185905,0,0,0,342359,0.456988132,0.543011868,Democratic
18th district,18,2014,"101,896","151,478",0,0,0,"253,374",0.402156496,0.597843504,Democratic
18th district,18,2010,102360,46235,0,0,0,148595,0.688852249,0.311147751,Democratic
18th district,18,2006,"79,631","48,499",0,0,2,"128,132",0.62147629,0.378508101,Republican
18th district,18,2002,103512,42852,0,3423,0,149787,0.691061307,0.286086242,Democratic
19th district,19,2022,213035,100226,0,0,13,313274,0.680027707,0.319930795,Republican
19th district,19,2018,128106,211465,0,0,36,339607,0.377218373,0.622675622,Democratic
19th district,19,2014,"159,354","80,824","6,671",0,12,"246,861",0.645521164,0.327406921,Republican
19th district,19,2010,78733,132098,0,0,228,211059,0.373037871,0.625881862,Republican
19th district,19,2002,60477,156747,0,0,0,217224,0.278408463,0.721591537,Republican
20th district,20,2022,52151,136215,0,0,0,188366,0.276859943,0.723140057,Democratic
20th district,20,2018,202659,0,0,0,165,202824,0.999186487,0.0,Republican
20th district,20,2014,"28,968","128,498",0,0,0,"157,466",0.183963522,0.816036478,Democratic
20th district,20,2010,63845,100787,0,2935,3,167570,0.381004953,0.601462076,Republican
21st district,21,2022,"208,614","119,891",0,0,0,"328,505",0.635040563,0.364959437,Republican
21st district,21,2014,0,"153,395",0,0,575,"153,970",0.0,0.996265506,Democratic
21st district,21,2006,"66,784","45,522",0,0,0,"112,306",0.594661015,0.405338985,Republican
22d district,22,2022,122194,150010,0,0,0,272204,0.448905968,0.551094032,Democratic
22d district,22,2018,184634,113049,0,0,0,297683,0.620236963,0.379763037,Republican
22d district,22,2014,"90,685","125,404",0,0,7,"216,096",0.419651451,0.580316156,Democratic
22d district,22,2010,118890,99804,0,0,0,218694,0.543636314,0.456363686,Democratic
22d district,22,2006,"100,663","108,688",0,"4,254",0,"213,605",0.471257695,0.508827041,Democratic
22d district,22,2002,131930,83265,0,1902,18,217115,0.607650324,0.383506437,Democratic
23d district,23,2022,130681,143951,0,4417,0,279049,0.468308433,0.515862805,Democratic
23d district,23,2018,161611,99446,0,15309,0,276366,0.584771643,0.359834422,Republican
23d district,23,2014,"61,519","103,269",0,0,0,"164,788",0.373322087,0.626677913,Democratic
23d district,23,2010,26414,100066,0,0,0,126480,0.208839342,0.791160658,Republican
23d district,23,2002,27986,96347,0,0,5,124338,0.225080024,0.774879763,Democratic
24th district,24,2022,"52,449","133,442",0,0,0,"185,891",0.282149216,0.717850784,Democratic
24th district,24,2014,"15,239","129,192",0,"5,487",0,"149,918",0.101648901,0.861751091,Democratic
24th district,24,2010,146129,98787,0,0,115,245031,0.596369439,0.403161233,Democratic
24th district,24,2006,"123,795","89,863",0,0,0,"213,658",0.579407277,0.420592723,Republican
24th district,24,2002,135576,83667,0,0,0,219243,0.618382343,0.381617657,Democratic
25th district,25,2022,105239,129113,0,0,0,234352,0.449063801,0.550936199,Democratic
25th district,25,2018,84173,128672,0,0,0,212845,0.395466184,0.604533816,Democratic
25th district,25,2010,74859,61138,0,0,0,143553,0.521472905,0.425891483,Republican
25th district,25,2006,"60,765","43,168",0,0,0,"103,933",0.584655499,0.415344501,Republican
25th district,25,2002,81845,44757,0,0,0,126602,0.646474779,0.353525221,Republican
26th district,26,2022,143240,58868,0,0,0,202108,0.708729986,0.291270014,Republican
26th district,26,2018,119797,115678,0,0,0,235475,0.508746151,0.491253849,Republican
26th district,26,2014,"83,031","78,306",0,0,0,"161,337",0.514643262,0.485356738,Republican
27th district,27,2022,136038,101404,0,0,0,237442,0.572931495,0.427068505,Republican
27th district,27,2018,130743,115588,0,0,6255,252586,0.517617762,0.457618395,Republican
28th district,28,2022,"134,457","76,665",0,0,28,"211,150",0.636784277,0.363083116,Republican
